3165    66811    zeta   Pup  54  17 08 03 35 -40 00.2 O5 Iaf        2.25 -0.26b*
3192    67797      16   Pup   3     08 09 02 -19 14.7 B5 IV         4.40 -0.156
3204    68217                 3     08 09 36 -44 07.4 B2 IV-V       5.21 -0.196*
3207    68273   gamma2  Vel   9     08 09 32 -47 20.2 WC8+O7.5e     1.78 -0.226*
3226    68601A                3     08 11 26 -42 59.2 A5 Ib         4.75 +0.086*
3249    69267A   beta   Cnc   9  16 08 16 31 +09 11.1 K4 III        3.52 +1.48b*
3270    70060                 3     08 18 33 -36 39.6 A7 III        4.45 +0.226
3283    70556AB               4     08 21 21 -36 29.1 B2 IV-V       5.20 -0.196*
3306    71115A                2     08 25 55 +07 33.9 G8 II         5.13 +0.946*
3307    71129   epsil   Car   4     08 22 31 -59 30.6 K3III+B2:V    1.86 +1.286*
3314    71155                 4     08 25 40 -03 54.4 A0 V          3.90 -0.026
3330    71510A                5     08 25 31 -51 43.7 B2 Ve         5.17 -0.166*
3347    71868    beta   Vol   4     08 25 44 -66 08.2 K1 III        3.77 +1.136*
3438    74006AB  beta   Pyx   4     08 40 06 -35 18.5 G7 Ib-II      3.97 +0.946
3442    74146AB               4     08 39 59 -53 03.1 B4 IV         5.19 -0.146*
3445    74180A                3     08 40 38 -46 38.9 F3 Ia         3.84 +0.716*
3454    74280     eta   Hya   6     08 43 13 +03 23.9 B3 V          4.30 -0.206*
3457    74375AB               3     08 40 37 -59 45.7 B1.5 III      4.33 -0.116*
3466    74535                 3     08 42 19 -53 06.0 B8            5.52 -0.156*
3467    74560                 3     08 42 25 -53 06.9 B3 IV         4.86 -0.176*
3468    74575   alpha   Pyx   3     08 43 36 -33 11.2 B1.5 III      3.68 -0.186*
3476    74753                 4     08 43 41 -49 49.3 B0 IIIn       5.16 -0.206
3482    74874ABCepsil   Hya   4   4 08 46 47 +06 25.1 G5III+A8IV+F7 3.38 +0.68b*
3485    74956AB delta   Vel   5   5 08 44 42 -54 42.5 A1 V          1.96 +0.04b*
3487    75063                 4     08 46 02 -46 02.5 A1 III        3.91 +0.006
3492    75137AB   rho   Hya   3     08 48 26 +05 50.3 A0 Vn         4.36 -0.046*
3547    76294    zeta   Hya   3   3 08 55 24 +05 56.7 G9 II-III     3.11 +1.00b
3571    76728A                4     08 55 03 -60 38.7 B8-9 II       3.84 -0.106*
3574    76805AB               4     08 56 19 -52 43.4 B5 V          4.69 -0.126*
3614    78004                 4     09 04 09 -47 05.9 K2 III        3.75 +1.206
3615    78045   alpha   Vol   4     09 02 27 -66 23.8 A2-3 IVm      4.00 +0.146
3659    79351                 4     09 10 58 -58 58.0 B2 IV-V       3.44 -0.196*
3663    79447                 4     09 11 17 -62 19.0 B3 III        3.97 -0.186
3685    80007    beta   Car   6   2 09 13 12 -69 43.0 A2 IV         1.68 +0.00b
3690    80081AB    38   Lyn   3     09 18 51 +36 48.2 A3 V          3.82 +0.066*
3705    80493   alpha   Lyn   8  14 09 21 03 +34 23.6 K7 IIIab      3.13 +1.55b*
3734    81188   kappa   Vel   5     09 22 07 -55 00.6 B2 IV-V       2.50 -0.186
3748    81797A  alpha   Hya   5   3 09 27 35 -08 39.5 K3 II-III     1.98 +1.44b*
3753    81848                 2     09 26 18 -53 22.8 B6 V          5.11 -0.116
3773    82308   lambd   Leo   5     09 31 43 +22 58.1 K5 III        4.31 +1.546*
3775    82328AB theta   UMa  12   8 09 32 51 +51 49.7 F6 IV         3.17 +0.46b*
3786    82434AB   psi   Vel   4     09 30 42 -40 28.0 F3IV+F0IV     3.60 +0.366*
3803    82668       N   Vel   4  12 09 31 13 -57 02.1 K5 III        3.13 +1.55b*
3825    83183                 5     09 34 27 -59 13.8 B5 II         4.08 +0.016
3845    83618    iota   Hya   4   3 09 39 51 -01 08.6 K2.5III-IIIb  3.91 +1.32b*
3856    83944                 3     09 39 21 -61 19.7 B9 IV-V       4.52 -0.076*
3873    84441   epsil   Leo   6  12 09 45 51 +23 46.5 G1 II         2.98 +0.80b*
3890/1  85123/4 upsil   Car   4     09 47 06 -65 04.3 A8Ib+A8Ib     2.96 +0.276*
3905    85503      mu   Leo   5     09 52 46 +26 00.4 K2 IIIb       3.88 +1.226
3940    86440A    phi   Vel   4     09 56 52 -54 34.1 B5 Ib         3.54 -0.086*
3975    87737AB   eta   Leo  17   6 10 07 20 +16 45.8 A0 Ib         3.52 -0.03b*
3980    87837AB    32   Leo   1     10 07 54 +09 59.9 K3.5 IIIb     4.37 +1.456*
3982    87901A  alpha   Leo 108 125 10 08 22 +11 58.0 B7 V          1.35 -0.11b*
3994    88284A  lambd   Hya   4     10 10 35 -12 21.3 K0 III        3.61 +1.016
4023    88955                 4     10 14 44 -42 07.3 A2 V          3.85 +0.056
4033    89021   lambd   UMa   4   6 10 17 06 +42 54.9 A2 IV         3.45 +0.03b
4037    89080   omega   Car   3     10 13 44 -70 02.3 B8 IIIe       3.32 -0.086
4050    89388AB     q   Car   4  13 10 17 05 -61 19.9 K3 IIa        3.40 +1.54b*
4069    89758      mu   UMa   9   3 10 22 20 +41 30.0 M0 III        3.05 +1.59b*
4094    90432      mu   Hya   4     10 26 05 -16 50.2 K4.5 III      3.81 +1.486
4102    90589                 3     10 24 24 -74 01.9 F2 IV         4.00 +0.356*
4114    90853                 4     10 27 53 -58 44.4 F2 II         3.82 +0.316*
4132    91312                 3   2 13 33 14 +40 25.5 A7 IV         4.75 +0.23b
4167    92139AB               4     10 37 18 -48 13.6 F4IV+F3       3.84 +0.306*
4171    92214     phi3  Hya   1     10 38 35 -16 52.6 G7.5 III      4.91 +0.926
4199    93030   theta   Car   3     10 42 57 -64 23.7 B0 Vp         2.76 -0.226
4216    93497AB    mu   Vel   4  10 10 46 46 -49 25.2 G5III+G2V     2.69 +0.90b*
4232    93813      nu   Hya  10  15 10 49 37 -16 11.6 K2 III        3.11 +1.25b
4246    94247      44   UMa   4   2 10 53 34 +54 35.1 K3 III        5.10 +1.36b
4248    94334   omega   UMa   4   2 10 53 59 +43 11.4 A1 V          4.71 -0.05b
4257    94510A                4     10 53 30 -58 51.2 K1 III        3.78 +0.956*
4287    95272   alpha   Crt       3 10 59 46 -18 17.9 K0 III        4.08 +1.09a
4295    95418    beta   UMa  18  10 11 01 50 +56 22.9 A1 V          2.37 -0.02b*
4300    95608      60   Leo   2     11 02 20 +20 10.8 A1m           4.42 +0.056
4301    95689AB alpha   UMa  15  13 11 03 44 +61 45.1 K0 IIIa       1.79 +1.07b*
4335    96833     psi   UMa  10   9 11 09 40 +44 29.9 K1 III        3.01 +1.14b
4357    97603A  delta   Leo   8  10 11 14 06 +20 31.4 A4 V          2.56 +0.12b*
4362    97778      72   Leo   1     11 15 12 +23 05.7 M3 IIb        4.63 +1.666*
4382    98430   delta   Crt   4     11 19 20 -14 46.7 G8 III-IV     3.56 +1.126
4390    98718AB    pi   Cen   4     11 21 00 -54 29.5 B5 Vn         3.89 -0.156*
4392    98839      56   UMa   4   3 11 22 50 +43 29.0 G7.5 IIIa:    4.99 +0.99b
4401    99104AB               2     11 23 22 -64 57.3 B5 V          5.11 -0.086*
4450   100407A     xi   Hya   4     11 33 00 -31 51.5 G7 III        3.54 +0.946*
4467   100841AB lambd   Cen   4     11 35 47 -63 01.2 B9 III        3.13 -0.046*
4520   102249A  lambd   Mus   5     11 45 36 -66 43.7 A7 III        3.64 +0.166*
4521   102328                 7     11 46 56 +55 37.7 K3 III        5.27 +1.276
4534   102647A   beta   Leo  11  10 11 49 04 +14 34.3 A3 V          2.14 +0.09b*
4537   102776                 4     11 49 41 -63 47.3 B3 Vne        4.32 -0.156*
4540   102870A   beta   Vir   4   1 11 50 42 +01 45.9 F9 V          3.61 +0.55b
4549   103079AB               4     11 51 51 -65 12.4 B4 V          4.90 -0.116*
4554   103287   gamma   UMa  18  15 11 53 50 +53 41.7 A0 Ve         2.44 +0.00b*
4599   104671AB theta1  Cru   3     12 03 02 -63 18.8 Am            4.33 +0.276*
4603   104841   theta2  Cru   3     12 04 19 -63 09.9 B2 IV         4.72 -0.086*
4623   105452   alpha   Crv   2   4 12 08 25 -24 43.7 F2 III-IV     4.02 +0.32b
4630   105707   epsil   Crv  10   4 12 10 07 -22 37.2 K2.5 IIIa     3.00 +1.33b*
4638   105937     rho   Cen   4     12 11 39 -52 22.1 B3 V          3.96 -0.156
4656   106490   delta   Cru   4   9 12 15 09 -58 44.9 B2 IV         2.80 -0.23b*
4662   106625   gamma   Crv 349   8 12 15 48 -17 32.5 B8 IIIp       2.59 -0.11b*
